transaction_date,item_code,item_name,quantity_sold,stock_level,unit_price,discount_applied,store_location,promotion_flag,holiday_flag,season,weather,sales,multiplier,festival_flag,festival_name,category,sales_normalized
2024-06-10,ITM6359,Headphones,5,69,399,0.0,UK,0,0,Summer,Hot,1995.0,1.06,0,None,Electronics,0.7442641298265249
2023-06-16,ITM4857,T-shirt,22,52,75,0.0,UK,0,0,Summer,Sunny,1650.0,1.183,0,None,Clothing,1.3253012048192772
2022-12-29,ITM6861,Smartphone,4,135,468,0.0,Germany,0,0,Winter,Sunny,1872.0,1.056,0,None,Electronics,0.7470071827613727
2022-03-12,ITM4145,Jeans,6,108,80,0.0,Japan,0,1,Spring,Cold,480.0,1.065,0,None,Clothing,0.38742483554622864
2024-01-24,ITM4305,Laptop,2,69,1360,0.0,USA,0,0,Winter,Cloudy,2720.0,0.978,0,None,Electronics,1.0441458733205373
2024-05-07,ITM4006,Juice,30,107,3,0.0,India,0,0,Summer,Rainy,90.0,1.417,0,None,Beverages,0.5277044854881267
2022-05-22,ITM10001,Headphones,5,58,869,217.25,India,0,1,Summer,Cloudy,4127.75,0.985,0,None,Electronics,1.5399179257601194
2024-10-28,ITM8770,Jeans,50,79,42,0.0,UK,1,0,Autumn,Sunny,2100.0,1.433,0,None,Clothing,1.6949836555147504
2024-12-30,ITM8438,Laptop,9,45,857,385.65,UK,1,0,Winter,Rainy,7327.35,1.259,0,None,Electronics,2.812802303262956
2023-03-25,ITM8942,Laptop,5,22,683,0.0,UK,0,1,Spring,Cloudy,3415.0,1.374,0,None,Electronics,1.310940499040307
2022-10-04,ITM10238,Eggs,26,157,15,19.5,Germany,0,0,Autumn,Sunny,370.5,1.084,0,None,Grocery,0.872791519434629
2023-05-06,ITM2056,Smartphone,3,73,1148,0.0,India,0,1,Summer,Hot,3444.0,1.083,0,None,Electronics,1.3743016759776536
2022-05-10,ITM4154,T-shirt,16,94,114,0.0,USA,0,0,Summer,Sunny,1824.0,1.225,0,None,Clothing,1.4650602409638553
2022-07-26,ITM4787,Smartphone,1,126,626,0.0,USA,1,0,Monsoon,Sunny,626.0,0.979,0,None,Electronics,0.24980047885075818
2022-12-03,ITM10189,Smartphone,3,18,1254,0.0,India,0,1,Winter,Cloudy,3762.0,1.163,0,None,Electronics,1.501197126895451
2024-07-13,ITM8825,Bread,57,125,2,11.4,Japan,1,1,Monsoon,Rainy,102.6,1.213,0,None,Grocery,0.25837320574162675
2024-04-21,ITM8539,Rice,19,72,18,0.0,India,0,1,Spring,Rainy,342.0,1.407,0,None,Grocery,0.9985401459854014
2022-07-07,ITM8231,Headphones,3,93,1290,0.0,Japan,0,0,Monsoon,Hot,3870.0,1.373,0,None,Electronics,1.4437604924454392
2023-05-22,ITM1764,Headphones,4,89,735,0.0,Germany,0,0,Summer,Cold,2940.0,1.033,0,None,Electronics,1.0968102965864577
2023-08-23,ITM6019,Coffee,55,190,1,2.75,USA,1,0,Monsoon,Hot,52.25,0.972,0,None,Beverages,0.2902777777777778
2023-12-13,ITM5903,Headphones,1,117,1382,0.0,USA,1,0,Winter,Hot,1382.0,1.054,0,None,Electronics,0.5155754523409811
2024-02-02,ITM9093,Jeans,13,137,40,0.0,USA,0,0,Winter,Hot,520.0,0.986,0,None,Clothing,0.4197102385084144
2023-11-03,ITM7843,Juice,46,81,7,16.1,UK,0,0,Winter,Sunny,305.9,1.172,0,None,Beverages,1.7936089123424213
2022-06-18,ITM3165,Laptop,2,37,347,0.0,Japan,1,1,Summer,Cold,694.0,1.097,0,None,Electronics,0.26641074856046065
2023-09-11,ITM2862,Laptop,1,95,923,46.15,Germany,1,0,Autumn,Cloudy,876.85,1.314,0,None,Electronics,0.33660268714011515
2024-08-11,ITM8850,Headphones,6,71,373,111.9,Germany,0,1,Monsoon,Cloudy,2126.1,1.225,0,None,Electronics,0.7931729155008393
2022-07-26,ITM10123,Laptop,5,76,458,0.0,USA,0,0,Monsoon,Rainy,2290.0,1.416,0,None,Electronics,0.8790786948176583
2022-12-25,ITM3340,Jeans,9,20,88,39.6,Germany,0,1,Winter,Cold,752.4,0.972,1,Christmas,Clothing,0.6072884297187134
2023-07-07,ITM6527,Shoes,17,52,110,280.5,India,0,0,Monsoon,Sunny,1589.5,1.176,0,None,Clothing,1.2675438596491229
2023-05-09,ITM7743,Milk,17,138,7,0.0,India,0,0,Summer,Rainy,119.0,0.942,0,None,Beverages,0.7345679012345679
2024-06-27,ITM5003,Smartphone,3,34,1136,0.0,India,0,0,Summer,Sunny,3408.0,1.379,0,None,Electronics,1.3599361532322427
2023-04-24,ITM2123,Milk,29,46,2,8.7,Japan,0,0,Spring,Rainy,49.3,0.862,0,None,Beverages,0.304320987654321
2023-10-31,ITM9709,Smartphone,4,124,971,0.0,Germany,1,0,Autumn,Hot,3884.0,0.978,0,None,Electronics,1.549880287310455
2022-11-28,ITM5049,Rice,15,77,11,8.25,Japan,0,0,Winter,Cold,156.75,0.9,0,None,Grocery,0.4576642335766423
2024-09-09,ITM8640,Jeans,33,151,58,95.7,India,1,0,Autumn,Hot,1818.3,1.034,0,None,Clothing,1.4676137051535574
2022-06-17,ITM1765,Coffee,60,146,4,0.0,UK,0,0,Summer,Cold,240.0,1.056,0,None,Beverages,1.3333333333333333
2023-03-06,ITM3344,Headphones,2,43,642,64.2,India,0,0,Spring,Rainy,1219.8,0.916,0,None,Electronics,0.4550643536653609
2024-08-22,ITM5071,Smartphone,6,43,455,0.0,Japan,0,0,Monsoon,Sunny,2730.0,1.381,0,None,Electronics,1.089385474860335
2022-07-03,ITM8216,Laptop,7,54,699,244.65,Germany,0,1,Monsoon,Cloudy,4648.35,1.386,0,None,Electronics,1.7843953934740884
2023-07-27,ITM5216,T-shirt,4,76,71,0.0,Japan,0,0,Monsoon,Rainy,284.0,1.361,0,None,Clothing,0.2281124497991968
2024-10-16,ITM8952,Coffee,74,125,2,7.4,India,0,0,Autumn,Hot,140.6,1.384,0,None,Beverages,0.7811111111111111
2024-10-02,ITM6970,Headphones,2,102,395,0.0,India,0,0,Autumn,Sunny,790.0,1.426,0,None,Electronics,0.29472113411676926
2022-08-27,ITM4350,Laptop,2,43,677,0.0,Japan,0,1,Monsoon,Sunny,1354.0,1.271,0,None,Electronics,0.5197696737044146
2024-12-22,ITM5695,Smartphone,1,44,1049,0.0,India,0,1,Winter,Sunny,1049.0,0.856,0,None,Electronics,0.4185953711093376
2022-08-04,ITM4399,Laptop,3,38,343,51.45,UK,0,0,Monsoon,Rainy,977.55,1.147,0,None,Electronics,0.37525911708253357
2022-08-02,ITM5081,Laptop,5,94,1051,0.0,India,0,0,Monsoon,Hot,5255.0,1.119,0,None,Electronics,2.0172744721689058
2024-01-27,ITM10149,Laptop,5,92,1337,0.0,Japan,0,1,Winter,Rainy,6685.0,1.042,0,None,Electronics,2.566218809980806
2024-01-09,ITM2224,Milk,68,79,3,0.0,Germany,0,0,Winter,Hot,204.0,1.016,0,None,Beverages,1.2592592592592593
2022-06-02,ITM7292,T-shirt,9,48,76,0.0,USA,1,0,Summer,Hot,684.0,1.35,0,None,Clothing,0.5493975903614458
2022-07-15,ITM4122,Shoes,41,63,48,0.0,USA,1,0,Monsoon,Sunny,1968.0,1.434,0,None,Clothing,1.569377990430622
2023-08-03,ITM1510,Smartphone,1,136,1185,0.0,India,0,0,Monsoon,Hot,1185.0,0.979,0,None,Electronics,0.4728651237031125
2024-05-21,ITM6794,Rice,21,127,19,0.0,UK,0,0,Summer,Sunny,399.0,1.015,0,None,Grocery,1.164963503649635
2024-06-27,ITM9181,Shoes,11,92,114,0.0,Japan,0,0,Summer,Rainy,1254.0,1.154,0,None,Clothing,1.0
2023-05-17,ITM10417,Smartphone,4,152,970,388.0,Germany,0,0,Summer,Sunny,3492.0,1.473,0,None,Electronics,1.3934557063048683
2024-04-06,ITM1096,Laptop,1,73,1309,0.0,USA,0,1,Spring,Cold,1309.0,0.917,0,None,Electronics,0.5024952015355086
2024-09-06,ITM7681,Headphones,10,102,844,0.0,Japan,1,0,Autumn,Hot,8440.0,1.489,0,None,Electronics,3.14866629360194
2024-06-05,ITM2512,Shoes,20,62,36,0.0,India,0,0,Summer,Sunny,720.0,1.383,0,None,Clothing,0.5741626794258373
2024-11-02,ITM9791,Coffee,25,125,4,0.0,Germany,1,1,Winter,Sunny,100.0,1.219,0,None,Beverages,0.5555555555555556
2023-11-15,ITM1119,Soda,25,107,6,0.0,India,0,0,Winter,Cloudy,150.0,0.921,0,None,Beverages,0.9615384615384616
2023-03-17,ITM8791,Soda,50,61,5,0.0,India,0,0,Spring,Cloudy,250.0,1.048,0,None,Beverages,1.6025641025641026
2024-06-14,ITM7517,Rice,9,62,18,0.0,Germany,0,0,Summer,Hot,162.0,0.991,0,None,Grocery,0.472992700729927
2022-10-20,ITM1033,Smartphone,8,133,1303,521.2,USA,1,0,Autumn,Rainy,9902.8,1.117,0,None,Electronics,3.9516360734237828
2023-08-21,ITM8887,Jeans,28,62,66,0.0,Germany,0,0,Monsoon,Hot,1848.0,0.923,0,None,Clothing,1.4915856168529802
2023-06-30,ITM7830,T-shirt,24,63,21,0.0,India,0,0,Summer,Sunny,504.0,1.158,0,None,Clothing,0.40481927710843374
2024-03-05,ITM6421,Eggs,17,33,3,7.65,India,0,0,Spring,Sunny,43.35,1.244,0,None,Grocery,0.10212014134275618
2022-11-09,ITM2068,Smartphone,9,146,345,0.0,UK,1,0,Winter,Sunny,3105.0,0.997,0,None,Electronics,1.2390263367916998
2023-09-19,ITM2347,Laptop,8,31,1216,0.0,USA,1,0,Autumn,Sunny,9728.0,1.332,0,None,Electronics,3.734357005758157
2022-07-08,ITM5747,Headphones,7,77,1359,1426.95,Japan,1,0,Monsoon,Sunny,8086.05,1.07,0,None,Electronics,3.0166200335758253
2023-09-22,ITM7005,Shoes,32,114,85,0.0,Japan,0,0,Autumn,Cloudy,2720.0,1.299,0,None,Clothing,2.1690590111642742
2024-10-05,ITM7039,Laptop,1,102,1138,0.0,Japan,0,1,Autumn,Rainy,1138.0,0.953,0,None,Electronics,0.43685220729366603
2024-11-13,ITM4817,Smartphone,6,99,392,0.0,Japan,1,0,Winter,Cold,2352.0,1.094,0,None,Electronics,0.9385474860335196
2024-10-25,ITM9446,T-shirt,40,136,35,70.0,UK,0,0,Autumn,Hot,1330.0,1.093,0,None,Clothing,1.0682730923694779
2023-08-30,ITM6269,Milk,97,213,2,19.4,USA,1,0,Monsoon,Sunny,174.6,1.232,0,None,Beverages,1.0777777777777777
2023-11-14,ITM7897,Smartphone,2,52,938,0.0,Germany,1,0,Winter,Sunny,1876.0,0.975,0,None,Electronics,0.7486033519553073
2024-11-08,ITM6309,Laptop,2,72,953,95.3,Germany,0,0,Winter,Hot,1810.7,1.378,0,None,Electronics,0.6950863723608446
2023-03-12,ITM1031,Eggs,18,142,5,4.5,Germany,0,1,Spring,Hot,85.5,1.07,0,None,Grocery,0.20141342756183744
2022-06-19,ITM6674,Laptop,5,149,653,0.0,Japan,0,1,Summer,Sunny,3265.0,1.004,0,None,Electronics,1.2533589251439539
2022-10-20,ITM5386,Smartphone,11,53,1165,0.0,UK,1,0,Autumn,Cold,12815.0,1.356,0,None,Electronics,5.113727055067837
2024-04-01,ITM1029,Shoes,11,106,65,0.0,Germany,0,0,Spring,Sunny,715.0,1.083,0,None,Clothing,0.5701754385964912
2024-12-20,ITM5202,Rice,43,76,15,0.0,USA,0,0,Winter,Hot,645.0,0.904,0,None,Grocery,1.8832116788321167
2024-05-15,ITM8507,Jeans,36,64,92,165.6,Japan,1,0,Summer,Cloudy,3146.4,1.451,0,None,Clothing,2.539569797005529
2022-12-25,ITM1735,Smartphone,1,140,432,0.0,Japan,0,1,Winter,Rainy,432.0,1.102,1,Christmas,Electronics,0.17238627294493217
2023-10-02,ITM3067,Soda,32,144,5,8.0,India,0,0,Autumn,Cloudy,152.0,0.954,0,None,Beverages,0.9743589743589743
2022-09-29,ITM1106,Shoes,30,93,72,0.0,Germany,1,0,Autumn,Sunny,2160.0,1.33,0,None,Clothing,1.722488038277512
2022-06-26,ITM10644,Juice,20,134,3,9.0,Japan,0,1,Summer,Hot,51.0,1.272,0,None,Beverages,0.2990325417766051
2023-10-18,ITM9894,Headphones,6,80,421,252.6,Japan,1,0,Autumn,Cold,2273.4,0.991,0,None,Electronics,0.8481253497481813
2024-10-13,ITM9020,Headphones,4,147,568,113.6,Germany,0,1,Autumn,Sunny,2158.4,1.26,0,None,Electronics,0.8052229061742212
2024-01-19,ITM3232,Juice,24,102,3,0.0,UK,1,0,Winter,Sunny,72.0,1.063,0,None,Beverages,0.4221635883905013
2023-03-24,ITM1993,Shoes,35,86,38,0.0,Japan,1,0,Spring,Sunny,1330.0,1.417,0,None,Clothing,1.0606060606060606
2022-10-07,ITM10412,Soda,23,51,2,0.0,Germany,0,0,Autumn,Sunny,46.0,1.114,0,None,Beverages,0.2948717948717949
2024-05-03,ITM8058,Juice,139,245,4,0.0,Germany,1,0,Summer,Sunny,556.0,1.273,0,None,Beverages,3.2600410436822043
2022-06-01,ITM7789,Bread,39,77,23,0.0,USA,0,0,Summer,Hot,897.0,1.437,0,None,Grocery,2.258876857214807
2024-01-06,ITM1360,Juice,42,99,2,8.4,India,0,1,Winter,Cloudy,75.6,1.244,0,None,Beverages,0.4432717678100263
2022-01-03,ITM1304,Eggs,39,105,12,0.0,USA,0,0,Winter,Cold,468.0,1.429,0,None,Grocery,1.1024734982332156
2023-06-18,ITM3627,T-shirt,15,28,118,177.0,USA,0,1,Summer,Cold,1593.0,1.43,0,None,Clothing,1.2795180722891566
2024-01-03,ITM9965,Laptop,2,129,892,89.2,USA,1,0,Winter,Sunny,1694.8,1.214,0,None,Electronics,0.650595009596929
2024-12-31,ITM5513,Smartphone,3,115,827,0.0,UK,0,0,Winter,Sunny,2481.0,1.023,0,None,Electronics,0.990023942537909
2023-07-23,ITM6910,Laptop,2,69,383,0.0,Germany,0,1,Monsoon,Hot,766.0,1.445,0,None,Electronics,0.2940499040307102
2022-11-25,ITM9313,Smartphone,6,43,360,0.0,India,1,0,Winter,Hot,2160.0,1.284,0,None,Electronics,0.8619313647246608
2023-08-20,ITM4100,Headphones,9,78,1372,0.0,Germany,1,1,Monsoon,Cold,12348.0,1.024,0,None,Electronics,4.6066032456631225
2022-05-31,ITM6703,Smartphone,1,13,1285,0.0,India,0,0,Summer,Cloudy,1285.0,1.256,0,None,Electronics,0.5127693535514765
2023-02-02,ITM4898,Shoes,31,166,98,0.0,Japan,0,0,Winter,Rainy,3038.0,1.287,0,None,Clothing,2.422647527910686
2022-03-10,ITM6440,Smartphone,1,104,706,0.0,India,0,0,Spring,Hot,706.0,1.013,0,None,Electronics,0.2817238627294493
2024-04-22,ITM8930,Shoes,10,32,81,0.0,UK,0,0,Spring,Rainy,810.0,0.966,0,None,Clothing,0.645933014354067
2022-12-23,ITM1621,Shoes,22,46,109,0.0,India,0,0,Winter,Cold,2398.0,1.276,0,None,Clothing,1.912280701754386
2022-09-13,ITM8235,Laptop,4,32,357,0.0,Japan,0,0,Autumn,Sunny,1428.0,1.389,0,None,Electronics,0.5481765834932821
2023-02-15,ITM3498,Coffee,38,107,5,0.0,Japan,1,0,Winter,Sunny,190.0,0.992,0,None,Beverages,1.0555555555555556
2023-09-04,ITM1713,T-shirt,30,95,90,0.0,India,0,0,Autumn,Cloudy,2700.0,0.974,0,None,Clothing,2.1686746987951806
2022-02-03,ITM9403,Coffee,57,151,6,17.1,Japan,0,0,Winter,Cold,324.9,1.318,0,None,Beverages,1.805
2022-11-10,ITM3855,Laptop,3,54,934,0.0,UK,0,0,Winter,Cloudy,2802.0,1.341,0,None,Electronics,1.0756238003838772
2024-08-09,ITM5269,Smartphone,2,82,645,0.0,Germany,0,0,Monsoon,Sunny,1290.0,1.308,0,None,Electronics,0.5147645650438947
2024-10-21,ITM3908,Bread,41,165,3,0.0,USA,0,0,Autumn,Rainy,123.0,1.16,0,None,Grocery,0.3097456560060438
2024-04-07,ITM9080,Soda,102,190,7,35.7,Germany,1,1,Spring,Rainy,678.3,0.974,0,None,Beverages,4.348076923076923
